City,ID,Lat,Long,Max Temp,Humidity,Cloudiness,Wind,Country,Date
touros,3386213,-5.1989,-35.4608,72.5,77,77,13.6,BR,Sat Jun 26 21:10:26 2021
nuevo laredo,3522551,27.4763,-99.5164,86.83,62,1,20.71,MX,Sat Jun 26 21:11:46 2021
oxchuc,3522256,16.85,-92.4167,56.55,99,100,2.48,MX,Sat Jun 26 21:11:46 2021
shubarshi,608270,48.5872,57.1869,84.92,39,5,12.15,KZ,Sat Jun 26 21:11:47 2021
vila velha,3445026,-20.3297,-40.2925,64.35,100,0,1.14,BR,Sat Jun 26 21:11:47 2021
lavrentiya,4031637,65.5833,-171,46.63,86,72,5.64,RU,Sat Jun 26 21:11:47 2021
ilulissat,3423146,69.2167,-51.1,44.62,76,40,3.44,GL,Sat Jun 26 21:11:48 2021
new norfolk,2155415,-42.7826,147.0587,55.58,47,66,7.74,AU,Sat Jun 26 21:11:48 2021
bredasdorp,1015776,-34.5322,20.0403,46.98,79,44,5.7,ZA,Sat Jun 26 21:11:48 2021
puerto narino,3671387,-3.7703,-70.3831,75.15,89,31,0.89,CO,Sat Jun 26 21:11:49 2021
certaldo,3179024,43.547,11.0402,67.64,67,7,1.52,IT,Sat Jun 26 21:11:49 2021
kushalnagar,1265451,12.458,75.959,71.47,77,99,7.56,IN,Sat Jun 26 21:11:50 2021
changtu,2038139,42.7788,124.0955,65.43,96,100,10.51,CN,Sat Jun 26 21:11:50 2021
lebu,3883457,-37.6167,-73.65,42.31,79,1,11.61,CL,Sat Jun 26 21:11:50 2021
port elizabeth,964420,-33.918,25.5701,51.08,80,43,6.24,ZA,Sat Jun 26 21:11:51 2021
antofagasta,3899539,-23.65,-70.4,58.28,79,100,6.51,CL,Sat Jun 26 21:08:15 2021
leningradskiy,2123814,69.3833,178.4167,58.89,38,94,3.71,RU,Sat Jun 26 21:11:51 2021
port macquarie,2152659,-31.4333,152.9167,64.89,52,0,4.68,AU,Sat Jun 26 21:11:52 2021
ponta do sol,2264557,32.6667,-17.1,66.83,73,20,3.4,PT,Sat Jun 26 21:11:52 2021
norman wells,6089245,65.282,-126.8329,78.66,36,95,11.95,CA,Sat Jun 26 21:11:52 2021
sao felix do xingu,3388847,-6.6447,-51.995,73.98,67,57,0.98,BR,Sat Jun 26 21:11:53 2021
ishigaki,1861416,24.3448,124.1572,83.7,82,100,13.06,JP,Sat Jun 26 21:11:53 2021
kloulklubed,7671223,7.0419,134.2556,83.98,68,48,6.04,PW,Sat Jun 26 21:11:53 2021
bosobolo,2316473,4.1833,19.9,68.27,93,70,1.1,CD,Sat Jun 26 21:11:54 2021
nuuk,3421319,64.1835,-51.7216,56.01,71,75,25.32,GL,Sat Jun 26 21:11:54 2021
thompson,6165406,55.7435,-97.8558,59.25,53,37,6.51,CA,Sat Jun 26 21:11:55 2021
bengkulu,1649150,-3.8004,102.2655,83.53,67,22,4.68,ID,Sat Jun 26 21:11:55 2021
puerto ayora,3652764,-0.7393,-90.3518,72.55,91,8,4,EC,Sat Jun 26 21:11:55 2021
pevek,2122090,69.7008,170.3133,38.66,71,99,4.43,RU,Sat Jun 26 21:11:56 2021
buarcos,2741961,40.166,-8.8768,61.66,95,37,9.48,PT,Sat Jun 26 21:11:56 2021
lingao,1803560,19.9103,109.6859,93.88,52,96,11.81,CN,Sat Jun 26 21:11:56 2021
narsaq,3421719,60.9167,-46.05,53.82,89,99,0.31,GL,Sat Jun 26 21:11:57 2021
heihe,2036973,50.2441,127.4902,84.78,46,70,9.53,CN,Sat Jun 26 21:11:57 2021
codrington,2171099,-38.2667,141.9667,56.84,67,43,6.49,AU,Sat Jun 26 21:11:57 2021
arlit,2447513,18.7369,7.3853,88.47,9,3,12.19,NE,Sat Jun 26 21:11:58 2021
talnakh,1490256,69.4865,88.3972,58.26,50,44,4.16,RU,Sat Jun 26 21:11:58 2021
olafsvik,3414079,64.8945,-23.7142,48.13,93,55,8.86,IS,Sat Jun 26 21:11:59 2021
flinders,6255012,-34.5833,150.8552,67.37,47,0,1.28,AU,Sat Jun 26 21:11:59 2021
sakakah,102527,29.9697,40.2064,84.83,28,0,5.01,SA,Sat Jun 26 21:11:59 2021
guerrero negro,4021858,27.9769,-114.0611,64.45,87,22,15.61,MX,Sat Jun 26 21:12:00 2021
stokmarknes,3136690,68.5646,14.9108,53.49,92,100,18.28,NO,Sat Jun 26 21:12:00 2021
candelaria,1719274,13.9311,121.4233,87.39,49,39,6.31,PH,Sat Jun 26 21:12:00 2021
cayenne,3382160,4.9333,-52.3333,78.1,86,8,2.3,GF,Sat Jun 26 21:12:01 2021
skibotn,7626405,69.3913,20.2679,48.47,73,31,3.67,NO,Sat Jun 26 21:12:01 2021
castro,3466704,-24.7911,-50.0119,58.06,73,25,5.23,BR,Sat Jun 26 21:12:01 2021
viedma,3832899,-40.8135,-62.9967,46.18,64,100,16.75,AR,Sat Jun 26 21:12:02 2021
mound,5038348,44.9366,-93.6661,69.71,95,100,1.01,US,Sat Jun 26 21:07:54 2021
dingle,1714733,10.9995,122.6711,87.26,64,100,5.06,PH,Sat Jun 26 21:12:02 2021
luderitz,3355672,-26.6481,15.1594,56.3,50,3,4.5,NA,Sat Jun 26 21:12:03 2021
kainantu,2095038,-6.2887,145.8655,75.25,55,79,5.55,PG,Sat Jun 26 21:12:03 2021
mackenzie,6063191,55.2999,-123.1698,78.4,54,9,2.77,CA,Sat Jun 26 21:12:03 2021
calabozo,3647444,8.9242,-67.4293,74.77,86,40,5.03,VE,Sat Jun 26 21:12:04 2021
pangkalanbuun,1632694,-2.6833,111.6167,91.4,48,39,4.61,ID,Sat Jun 26 21:12:04 2021
santa cruz,3904906,-17.8,-63.1667,63.57,77,58,15.52,BO,Sat Jun 26 21:12:05 2021
tasiilaq,3424607,65.6145,-37.6368,53.76,64,31,7.81,GL,Sat Jun 26 21:12:05 2021
the valley,3573374,18.217,-63.0578,81.1,76,100,18.12,AI,Sat Jun 26 21:11:53 2021
yumen,1528998,40.2833,97.2,79.63,21,100,7.05,CN,Sat Jun 26 21:12:05 2021
lorengau,2092164,-2.0226,147.2712,84.09,72,29,5.91,PG,Sat Jun 26 21:12:06 2021
christchurch,2192362,-43.5333,172.6333,57,86,92,1.99,NZ,Sat Jun 26 21:12:06 2021
greenville,4469160,35.6127,-77.3663,75.29,92,1,0,US,Sat Jun 26 21:12:07 2021
beyneu,610298,45.3167,55.2,93.29,24,0,8.28,KZ,Sat Jun 26 21:12:07 2021
hovd,1516048,48.0056,91.6419,67.33,23,60,3.29,MN,Sat Jun 26 21:12:07 2021
iskitim,1505429,54.6366,83.3045,67.82,74,49,10.16,RU,Sat Jun 26 21:12:08 2021
bambous virieux,1106677,-20.3428,57.7575,72.21,80,2,10.11,MU,Sat Jun 26 21:12:08 2021
mehamn,778707,71.0357,27.8492,47.08,88,98,4.59,NO,Sat Jun 26 21:12:08 2021
ust-kuyga,2013921,70.0167,135.6,67.05,47,100,10.85,RU,Sat Jun 26 21:12:09 2021
cockburn town,3576994,21.4612,-71.1419,80.53,77,0,15.17,TC,Sat Jun 26 21:12:09 2021
platanos,255030,37.6667,21.6167,78.57,37,19,4.54,GR,Sat Jun 26 21:12:09 2021
rock sound,3571592,24.9,-76.2,81.05,72,4,16.71,BS,Sat Jun 26 21:09:30 2021
juybar,129933,36.6412,52.9124,92.95,25,0,4.21,IR,Sat Jun 26 21:12:10 2021
yar-sale,1486321,66.8333,70.8333,54.37,45,100,5.79,RU,Sat Jun 26 21:12:10 2021
arraial do cabo,3471451,-22.9661,-42.0278,70.75,78,92,23.47,BR,Sat Jun 26 21:12:11 2021
kodiak,5866583,57.79,-152.4072,54.91,71,20,6.91,US,Sat Jun 26 21:12:11 2021
muisne,3653967,0.6,-80.0333,75.94,86,100,8.05,EC,Sat Jun 26 21:12:11 2021
grand gaube,934479,-20.0064,57.6608,72.37,88,1,5.01,MU,Sat Jun 26 21:12:12 2021
imbituba,3461370,-28.24,-48.6703,66.81,84,100,12.1,BR,Sat Jun 26 21:08:49 2021
padang,1633419,-0.9492,100.3543,86.05,65,51,3.69,ID,Sat Jun 26 21:12:13 2021
tautira,4033557,-17.7333,-149.15,80.62,71,0,6.46,PF,Sat Jun 26 21:12:13 2021
kismayo,55671,-0.3582,42.5454,77.32,79,52,14.47,SO,Sat Jun 26 21:10:13 2021
port blair,1259385,11.6667,92.75,84.56,67,100,9.15,IN,Sat Jun 26 21:12:13 2021
havre-saint-pierre,5972291,50.2334,-63.5986,58.14,95,100,4.76,CA,Sat Jun 26 21:12:14 2021
komsomolskiy,1513491,40.4272,71.7189,83.12,21,1,4.61,UZ,Sat Jun 26 21:12:14 2021
vila do maio,3374120,15.1333,-23.2167,75.99,89,70,10.51,CV,Sat Jun 26 21:12:14 2021
labuhan,8079926,-6.8844,112.2051,85.89,67,41,8.03,ID,Sat Jun 26 21:12:15 2021
karaton,1630058,-6.3424,106.1045,86.16,58,95,0.69,ID,Sat Jun 26 21:12:15 2021
garden city,4993659,42.3256,-83.331,80.85,70,75,20.71,US,Sat Jun 26 21:10:33 2021
iquitos,3696183,-3.7481,-73.2472,75.24,94,20,4.61,PE,Sat Jun 26 21:10:41 2021
shumikha,1491999,55.2261,63.2961,70.21,74,8,11.88,RU,Sat Jun 26 21:12:16 2021
bilibino,2126682,68.0546,166.4372,75.16,29,100,4.12,RU,Sat Jun 26 21:12:16 2021
nantucket,4944903,41.2835,-70.0995,74.08,100,90,11.5,US,Sat Jun 26 21:10:35 2021
point pleasant,5102796,40.0832,-74.0682,76.21,86,1,3,US,Sat Jun 26 21:11:17 2021
rajula,1258795,21.05,71.4333,88.86,51,36,9.71,IN,Sat Jun 26 21:12:17 2021
lowestoft,2643490,52.4752,1.7516,60.46,95,96,14.05,GB,Sat Jun 26 21:12:18 2021
longyearbyen,2729907,78.2186,15.6401,46.24,66,40,5.75,SJ,Sat Jun 26 21:12:18 2021
souillac,933995,-20.5167,57.5167,72.36,84,2,9.46,MU,Sat Jun 26 21:12:18 2021
matara,1235846,5.9485,80.5353,80.22,83,96,13.11,LK,Sat Jun 26 21:12:19 2021
asau,686090,46.4333,26.4,67.28,93,7,3.02,RO,Sat Jun 26 21:12:19 2021
sao jose da coroa grande,3388456,-8.8978,-35.1478,73.29,84,65,8.52,BR,Sat Jun 26 21:12:20 2021
krapivinskiy,1502192,54.9992,86.8133,60.44,89,100,7.65,RU,Sat Jun 26 21:12:20 2021
mujiayingzi,2035707,42.1167,118.7833,79.63,42,4,4.56,CN,Sat Jun 26 21:12:20 2021
roma,5134295,43.2128,-75.4557,80.46,70,1,4.61,US,Sat Jun 26 21:12:21 2021
sioux lookout,6148373,50.1001,-91.917,61.68,76,88,4.05,CA,Sat Jun 26 21:12:21 2021
alice springs,2077895,-23.7,133.8833,54.95,47,1,14.97,AU,Sat Jun 26 21:12:22 2021
elista,563514,46.3078,44.2558,75.72,73,99,6.71,RU,Sat Jun 26 21:12:22 2021
prince rupert,6113406,54.3161,-130.3201,65.7,86,29,3.6,CA,Sat Jun 26 21:12:22 2021
anaconda,5637146,46.1285,-112.9423,70.79,66,1,2.04,US,Sat Jun 26 21:12:23 2021
katangli,2122783,51.7102,143.2326,54.1,81,79,12.19,RU,Sat Jun 26 21:12:23 2021
luanda,2240449,-8.8368,13.2343,73.4,88,75,3.44,AO,Sat Jun 26 21:10:46 2021
quelimane,1028434,-17.8786,36.8883,62.37,94,1,4.68,MZ,Sat Jun 26 21:12:24 2021
nikolskoye,546105,59.7035,30.7861,71.02,74,44,2.51,RU,Sat Jun 26 21:12:24 2021
america dourada,3472344,-11.4553,-41.4361,62.83,88,22,10,BR,Sat Jun 26 21:12:24 2021
vilaka,454130,57.1846,27.6722,64.51,80,82,3.44,LV,Sat Jun 26 21:12:25 2021
esperance,2071860,-33.8667,121.9,62.58,44,1,22.77,AU,Sat Jun 26 21:12:25 2021
homer,5864145,59.6425,-151.5483,59.07,62,90,5.75,US,Sat Jun 26 21:08:05 2021
ati,2436400,13.2154,18.3353,87.64,44,37,11.92,TD,Sat Jun 26 21:12:26 2021
gamba,2400547,-2.65,10,71.31,94,76,3.02,GA,Sat Jun 26 21:12:26 2021
boa vista,3664980,2.8197,-60.6733,78.78,89,20,3.44,BR,Sat Jun 26 21:12:26 2021
farah,1142263,32.5,62.5,82.96,10,0,3.02,AF,Sat Jun 26 21:12:27 2021
leshukonskoye,535839,64.8989,45.7622,56.26,69,26,6.2,RU,Sat Jun 26 21:12:27 2021
ambilobe,1082243,-13.2,49.05,66.81,84,18,3.36,MG,Sat Jun 26 21:12:27 2021
jaroslaw,770380,50.0162,22.6778,60.8,94,0,5.88,PL,Sat Jun 26 21:12:28 2021
yerbogachen,2012956,61.2767,108.0108,71.53,40,50,8.9,RU,Sat Jun 26 21:12:28 2021
grindavik,3416888,63.8424,-22.4338,48.67,93,90,11.5,IS,Sat Jun 26 21:12:29 2021
hamilton,4513583,39.1834,-84.5333,78.91,74,40,9.22,US,Sat Jun 26 21:10:24 2021
jiuquan,1279945,39.7432,98.5174,84.04,27,99,16.13,CN,Sat Jun 26 21:12:29 2021
tolaga bay,2180991,-38.3667,178.3,61.66,82,98,10.78,NZ,Sat Jun 26 21:12:29 2021
provideniya,4031574,64.3833,-173.3,51.89,73,93,5.48,RU,Sat Jun 26 21:12:30 2021
sheridan,5838199,44.8333,-106.9173,64.69,57,90,8.05,US,Sat Jun 26 21:12:30 2021
san ignacio,3581194,17.1561,-89.0714,78.94,89,75,0,BZ,Sat Jun 26 21:12:31 2021
necochea,3430443,-38.5473,-58.7368,45.03,81,97,9.69,AR,Sat Jun 26 21:12:31 2021
camacha,2270385,33.0833,-16.3333,63.82,63,75,8.05,PT,Sat Jun 26 21:12:32 2021
saint-philippe,935215,-21.3585,55.7679,71.47,76,2,6.15,RE,Sat Jun 26 21:12:32 2021
vestmannaeyjar,3412093,63.4427,-20.2734,48.22,95,63,5.64,IS,Sat Jun 26 21:12:32 2021
sinjar,448149,36.3209,41.8754,91.31,16,4,5.73,IQ,Sat Jun 26 21:12:33 2021
tarakan,1624725,3.3,117.6333,83.7,70,75,5.75,ID,Sat Jun 26 21:12:33 2021
maldonado,3441890,-34.6667,-54.9167,51.19,94,99,15.7,UY,Sat Jun 26 21:12:33 2021
tuktoyaktuk,6170031,69.4541,-133.0374,51.39,62,83,7.99,CA,Sat Jun 26 21:12:34 2021
qaqortoq,3420846,60.7167,-46.0333,54.1,93,100,2.06,GL,Sat Jun 26 21:12:34 2021
carnarvon,2074865,-24.8667,113.6333,75.27,53,75,17.27,AU,Sat Jun 26 21:12:34 2021
berdigestyakh,2026861,62.0989,126.6992,82.76,29,91,3.89,RU,Sat Jun 26 21:12:35 2021
nome,5870133,64.5011,-165.4064,60.17,58,20,13.8,US,Sat Jun 26 21:12:35 2021
san policarpo,1688696,12.1791,125.5072,86.16,68,99,9.1,PH,Sat Jun 26 21:12:35 2021
kurilsk,2123979,45.2333,147.8833,56.93,81,100,2.15,RU,Sat Jun 26 21:12:16 2021
vanimo,2084442,-2.6741,141.3028,83.41,73,53,7.14,PG,Sat Jun 26 21:12:36 2021
grants,5469841,35.1473,-107.8514,64.63,29,1,0,US,Sat Jun 26 21:12:37 2021
ostrovnoy,556268,68.0531,39.5131,49.48,66,92,3.6,RU,Sat Jun 26 21:12:37 2021
sabinas hidalgo,3988327,26.5,-100.1667,82.04,59,9,14.7,MX,Sat Jun 26 21:12:38 2021
traralgon,2146108,-38.1833,146.5333,59.41,91,99,4.12,AU,Sat Jun 26 21:12:38 2021
sarrebourg,2975967,48.7333,7.05,62.31,91,100,6.15,FR,Sat Jun 26 21:12:38 2021
dano,2361586,11.15,-3.0667,75.31,71,35,7.38,BF,Sat Jun 26 21:12:39 2021
borzya,2026126,50.3833,116.5167,82.22,38,71,5.53,RU,Sat Jun 26 21:12:39 2021
lazaro cardenas,4026082,17.9583,-102.2,70.75,95,100,12.66,MX,Sat Jun 26 21:12:39 2021
berkovica,3199779,44.6156,18.4294,63.12,85,9,2.48,BA,Sat Jun 26 21:12:40 2021
san cristobal,3628473,7.7669,-72.225,68.18,97,77,1.5,VE,Sat Jun 26 21:12:40 2021
khovu-aksy,1503527,51.1333,93.6,54.5,74,100,5.26,RU,Sat Jun 26 21:12:40 2021
nanortalik,3421765,60.1432,-45.2371,47.44,87,94,4.85,GL,Sat Jun 26 21:12:41 2021
brae,2654970,60.3964,-1.353,51.71,95,84,14.29,GB,Sat Jun 26 21:12:41 2021
yenotayevka,467479,47.2456,47.0281,84.47,41,76,12.95,RU,Sat Jun 26 21:12:42 2021
pacific grove,5380437,36.6177,-121.9166,69.76,89,90,4,US,Sat Jun 26 21:12:42 2021
fortuna,5563839,40.5982,-124.1573,58.32,72,90,1.99,US,Sat Jun 26 21:12:42 2021
quatre cocos,1106643,-20.2078,57.7625,72.09,81,3,9.53,MU,Sat Jun 26 21:12:43 2021
tual,1623197,-5.6667,132.75,80.76,77,67,19.46,ID,Sat Jun 26 21:12:43 2021
karratha,6620339,-20.7377,116.8463,69.96,57,97,6.2,AU,Sat Jun 26 21:12:44 2021
makakilo city,5850554,21.3469,-158.0858,79.29,62,1,6.91,US,Sat Jun 26 21:12:44 2021
moscow,524901,55.7522,37.6156,77.52,57,13,3.56,RU,Sat Jun 26 21:12:44 2021
kastamonu,743881,41.5,33.6667,61.88,84,0,2.89,TR,Sat Jun 26 21:12:45 2021
navalgund,1261667,15.5667,75.3667,71.87,85,100,11.61,IN,Sat Jun 26 21:12:45 2021
airai,1651810,-8.9266,125.4092,73.2,55,70,5.32,TL,Sat Jun 26 21:12:46 2021
rocha,3440777,-34.4833,-54.3333,54.03,96,100,14.14,UY,Sat Jun 26 21:12:46 2021
dhidhdhoo,1337612,6.8833,73.1,81.73,77,75,12.24,MV,Sat Jun 26 21:12:46 2021
puerto escondido,3520994,15.85,-97.0667,80.08,65,100,11.99,MX,Sat Jun 26 21:12:47 2021
constitucion,3893726,-35.3333,-72.4167,41.94,80,0,6.71,CL,Sat Jun 26 21:12:47 2021
klaksvik,2618795,62.2266,-6.589,49.12,87,89,6.11,FO,Sat Jun 26 21:12:47 2021
awbari,2219235,26.5921,12.7805,82.8,18,0,8.57,LY,Sat Jun 26 21:12:48 2021
newark,5101798,40.7357,-74.1724,77.34,83,75,13.8,US,Sat Jun 26 21:12:02 2021
temeni,253003,38.2333,22.1167,79.57,45,28,6.93,GR,Sat Jun 26 21:12:48 2021
sorland,3137469,67.667,12.6934,50.74,88,96,24.25,NO,Sat Jun 26 21:12:49 2021
palmer,4946620,42.1584,-72.3287,75.13,76,90,3,US,Sat Jun 26 21:12:49 2021
sault sainte marie,6141439,46.5168,-84.3333,68.29,93,90,0,CA,Sat Jun 26 21:08:46 2021
champerico,3598787,14.3,-91.9167,81.36,80,100,6.53,GT,Sat Jun 26 21:12:50 2021
yulara,6355222,-25.2406,130.9889,57.04,44,7,14.97,AU,Sat Jun 26 21:12:50 2021
tromso,6453316,69.6496,18.957,48.85,81,75,2.3,NO,Sat Jun 26 21:12:50 2021
lasa,3175096,46.6166,10.7002,57.61,88,55,1.43,IT,Sat Jun 26 21:12:51 2021
balabac,1728675,7.9868,117.0645,86.94,65,50,10.58,PH,Sat Jun 26 21:12:51 2021
porto novo,2392087,6.4965,2.6036,72.09,94,95,3.67,BJ,Sat Jun 26 21:12:52 2021
norrtalje,2688250,59.758,18.705,63.28,69,3,1.79,SE,Sat Jun 26 21:11:51 2021
lompoc,5367788,34.6391,-120.4579,71.1,79,90,6.91,US,Sat Jun 26 21:12:37 2021
kribi,2229761,2.95,9.9167,76.44,89,100,5.64,CM,Sat Jun 26 21:12:52 2021
alofi,4036284,-19.0595,-169.9187,75.16,71,14,27.54,NU,Sat Jun 26 21:12:53 2021
katsuura,2112309,35.1333,140.3,79.23,94,100,9.15,JP,Sat Jun 26 21:09:13 2021
yarmouth,4956335,41.7057,-70.2286,74.08,96,90,8.01,US,Sat Jun 26 21:12:53 2021
